TİCARİ BM;BÖLGE;ÜTE;DEPO GRUBU;DEPO ŞUBESİ;GLN;ECZANE ADI;İLÇE;İL;BARKOD;ÜRÜN ADI;ADET;MF
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546020454;Redoxon 3'lü Etki 30 Efervesan Tablet;80;10
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546020461;Redoxon Essential 1000mg TAEF TUBE 15 TR;36;5
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546370580;Bepanthol Onarıcı Bakım Merhemi 30gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546370412;Bepanthol Onarıcı Bakım Merhemi 50gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546358625;Bepanthol Cilt Bakım Kremi 30gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546020393;Supradyn 15 Effervesan Tablet;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546650057;Aspinatura Apricot Lemon SPRA PUB20ml TR;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546370382;Bepanthol Baby Pişik Önleyici Merhem 100gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001286188;Pınar;Kadıköy;İstanbul;8699546358786;Bepanthol Derma Nem & Besleyici SPF 25 Güneş Koruyuculu Günlük Yüz Bakım Kr 50ML;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001686490;İntepe;Kadıköy;İstanbul;8699546080045;Redoxon Kids 60;12;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001686490;İntepe;Kadıköy;İstanbul;8699546358786;Bepanthol Derma Nem & Besleyici SPF 25 Güneş Koruyuculu Günlük Yüz Bakım Kr 50ML;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001686490;İntepe;Kadıköy;İstanbul;8699546358830;Bepanthol Derma Nemlendirici & Besleyici Günlük Yüz Bakım Kremi ;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001686490;İntepe;Kadıköy;İstanbul;8699546650064;Aspinatura Lemon-Mint SPRA PUB 20ml TR;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001550012;Berül;Kadıköy;İstanbul;8699546020454;Redoxon 3'lü Etki 30 Efervesan Tablet;24;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001550012;Berül;Kadıköy;İstanbul;8699546020386;Supradyn 30 Effervesan Tablet;10;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001550012;Berül;Kadıköy;İstanbul;8699546020447;Redoxon 3'lü Etki 15 Efervesan Tablet;160;20
