;GLN_GUNCEL;BARKOD_GUNCEL;URUN ADI;ADET;MF
97;8680001476299;8699546650057;ASPINATURA APRICOT LEMON 20ML;14;2.0
159;8680001598809;8699546650057;ASPINATURA APRICOT LEMON 20ML;40;10.0
184;8680001217212;8699546650057;ASPINATURA APRICOT LEMON 20ML;1;
220;8680001496310;8699546650057;ASPINATURA APRICOT LEMON 20ML;7;1.0
271;8680001476299;8699546650057;ASPINATURA APRICOT LEMON 20ML;14;2.0
26;8680001658961;8699546540020;ASPINATURA BURUN SPR 3,5% SPH;2;
149;8680001599776;8699546540020;ASPINATURA BURUN SPR 3,5% SPH;2;
274;8680001599776;8699546540020;ASPINATURA BURUN SPR 3,5% SPH;12;1.0
228;8680001632596;8699546578085;ASPINATURA COUGH SRP 120 ML;7;1.0
232;8680001439591;8699546578085;ASPINATURA COUGH SRP 120 ML;1;
248;8680001496310;8699546578085;ASPINATURA COUGH SRP 120 ML;7;1.0
29;8680001658961;8699546578092;ASPINATURA COUGH SYRU SACH 10ML;1;
104;8680001658961;8699546578092;ASPINATURA COUGH SYRU SACH 10ML;2;
108;8680001217212;8699546578092;ASPINATURA COUGH SYRU SACH 10ML;1;
109;8680001476299;8699546578092;ASPINATURA COUGH SYRU SACH 10ML;1;
251;8680001658961;8699546578092;ASPINATURA COUGH SYRU SACH 10ML;2;
110;8680001217212;8699546578108;ASPINATURA JNR COU SYRU SAC 5ML;1;
254;8680001217212;8699546578108;ASPINATURA JNR COU SYRU SAC 5ML;1;
20;8680001439591;8699546578078;ASPINATURA KIDS COUGH SRP 120ML;1;
98;8680001476299;8699546578078;ASPINATURA KIDS COUGH SRP 120ML;14;2.0
111;8680001217212;8699546578078;ASPINATURA KIDS COUGH SRP 120ML;1;
142;8680001522453;8699546578078;ASPINATURA KIDS COUGH SRP 120ML;7;1.0
143;8680001632596;8699546578078;ASPINATURA KIDS COUGH SRP 120ML;7;1.0
255;8680001217212;8699546578078;ASPINATURA KIDS COUGH SRP 120ML;1;
102;8680001476299;8699546650064;ASPINATURA LEMON MINT SRPA PUB;7;1.0
144;8680001599776;8699546650064;ASPINATURA LEMON MINT SRPA PUB;7;1.0
160;8680001598809;8699546650064;ASPINATURA LEMON MINT SRPA PUB;40;10.0
167;8680001686490;8699546650064;ASPINATURA LEMON MINT SRPA PUB;7;1.0
229;8680001439591;8699546650064;ASPINATURA LEMON MINT SRPA PUB;7;1.0
249;8680001496310;8699546650064;ASPINATURA LEMON MINT SRPA PUB;7;1.0
272;8680001476299;8699546650064;ASPINATURA LEMON MINT SRPA PUB;7;1.0
