GLN_GUNCEL;BARKOD_GUNCEL;ADET;MF
8680001464456;8699546095131;1;0
8680001235452;8699546015634;1;0
8680001345328;8699546070879;10;0
8680001235452;8699546070879;3;0
8680001184507;8699546355174;1;0
8680001464166;8699546355174;2;0
8680001506644;8699546095131;1;0
8680001380633;8699546095131;1;0
8680001412334;8699546015634;360;36
8680001671496;8699546095131;1;0
8680001524464;8699546095131;1;0
8680001514786;8699546095131;1;0
8680001425426;8699546095131;1;0
8680001380756;8699546095131;1;0
8680001249046;8699546095131;1;0
8680001572007;8699546095131;1;0
8680001241309;8699546755714;2;0
8680001211128;8699546755714;2;0
8680001278794;8699546755714;2;0
8680001279371;8699546095131;1;0
8680001687138;8699546115198;2;0
8680001175505;8699546095131;2;0
8680001405053;8699546095131;1;0
8680001224722;8699546385492;2;0
8680001298648;8699546095131;1;0
8680001451005;8699546095131;1;0
8680001299553;8699546095131;1;0
8680001493050;8699546370412;1;0
8680001466207;8699546095131;1;0
8680001201570;8699546095131;1;0
8680001236671;8699546015634;2;0
8680001428939;8699546755714;2;0
8680001266210;8699546755714;2;0
8680001188086;8699546095100;10;0
8680001654215;8699546085767;40;2
8680001654215;8699546705757;5;0
8680001654215;8699546705795;40;2
8680001202324;8699546095131;1;0
8680001697069;8699546095131;1;0
8680001237357;8699546385492;10;0
8680001522774;8699546080274;2;0
8680001230129;8699546095131;1;0
8680001233106;8699546095131;1;0
8680001491865;8699546095131;1;0
8680001475933;8699546080045;2;0
8680001684236;8699546095131;1;0
8680001439379;8699546370429;2;0
8680001439379;8699546705795;10;0
8680001221066;8699546095131;1;0
8680001253166;8699546095131;1;0
8680001428939;8699546095131;1;0
8680001240807;8699546095131;1;0
8680001221066;8699546755714;2;0
8680001654215;8699546090396;3;0
8680001654215;8699546080274;100;5
8680001240951;8699546095131;1;0
8680001667949;8699546095131;1;0
8680001240951;8699546755714;2;0
8680001667949;8699546755714;2;0
8680001264452;8699546095131;1;0
8680001213696;8699546755714;2;0
8680001462124;8699546755714;2;0
8680001202324;8699546755714;2;0
8680001524884;8699546755714;2;0
8680001213696;8699546095131;1;0
8680001490226;8699546015597;20;1
8680001211739;8699546015634;2;0
8680001214303;8699546095100;50;0
8680001524730;8699546095131;1;0
8680001654215;8699546080069;2;0
8680001155613;8699546755714;1;0
8680001508464;8699546095131;1;0
8680001449453;8699546099429;10;0
8680001256846;8699546095131;1;0
8680001200054;8699546095131;1;0
8680001214242;8699546355174;10;1
8680001214242;8699546095131;1;0
8680001464166;8699546755714;2;0
8680001275946;8699546355174;10;1
8680001197972;8699546095131;1;0
8680001272525;8699546095131;1;0
8680001197682;8699546095131;1;0
8680001197972;8699546755714;2;0
8680001514786;8699546755714;2;0
8680001197682;8699546755714;2;0
8680001671496;8699546755714;2;0
8680001524464;8699546755714;2;0
8680001648498;8699546755714;2;0
8680001427178;8699546015634;2;0
8680001211470;8699546755714;2;0
8680001696680;8699546755714;2;0
8680001696659;8699546755714;2;0
8680001209903;8699546755714;2;0
8680001458875;8699546015610;20;1
8680001214273;8699546095131;1;0
8680001230129;8699546755714;2;0
8680001214273;8699546755714;2;0
8680001662654;8699546755714;2;0
8680001256846;8699546755714;2;0
8680001214242;8699546755714;2;0
8680001508464;8699546755714;2;0
8680001211470;8699546095131;1;0
8680001209903;8699546095131;1;0
8680001291748;8699546015610;5;0
8680001416301;8699546015597;20;1
8680001233106;8699546095131;2;0
8680001684939;8699546015610;20;1
8680001684939;8699546015597;40;2
8680001522774;8699546080274;5;0
8680001311583;8699546755141;2;0
8680001237807;8699546015634;10;1
8680001439331;8699546650057;7;1
8680001439331;8699546351411;2;0
8680001267637;8699546098248;2;0
8680001157389;8699546705757;2;0
8680001223589;8699546241231;2;0
8680001224937;8699546099429;2;0
8680001199167;8699546099429;30;0
8680001199167;8699546080274;20;1
8680001229529;8699546080274;10;0
8680001495962;8699546015610;2;0
8680001314522;8699546385492;5;0
8680001209095;8699546095131;2;0
8680001411528;8699546099429;10;0
8680001536191;8699546020478;2;0
8680001276134;8699546095131;2;0
8680001227976;8699546099429;5;0
8680001299157;8699546350230;1;0
8680001372515;8699546095100;10;0
8680001337026;8699546755714;2;0
8680001676842;8699546099429;3;0
8680001328611;8699546010028;10;0
8680001684939;8699546080274;40;2
8680001225064;8699546385492;10;0
8680001684939;8699546351411;5;0
8680001115556;8699546070879;1;0
8680001254040;8699546020508;5;0
8680001209095;8699546351411;3;0
8680001696956;8699546015597;20;1
8680001355853;8699546015634;2;0
8680001247004;8699546091959;2;0
